date | value
2009-01-01 | 1
2009-01-02 | 1
2011-01-03 3
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-04 | 1
2011-01-04 | ..
2011-01-04 | 1ee0
2011-01-04 | 1.e4
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2001-42-42 | 1
2001-01-42 | 1
2001-01-421 | 1
2001-101-01 | 1
2012-01-11 | 1
2012-01-11 | 2147483648
2012-01-11 | 214748364854343767385685873574364746373584658
2012-01-11 | 214748364854343767385685873574364746373584658.
2012-01-11 | 21474836485434.376738
2012-01-11 | INF
2050-01-01 | 1
